topic_name|text_seg|count
AGUA_PODRIDA|puch chi a| 125
AJAL_PUJ|ahal puh| 291
AJAL_PUJ|ahal puh| 1181
AJAL_PUJ|ahal puh| 1194
AJAL_PUJ|ahalpuh| 1179
AJAL_QANA|ahal cana| 1182
AJAL_QANA|ahal cana| 1183
AJAL_QANA|ahal cana| 1195
AJAW_AJTZIK_WINAQ|Ah ꜩic vinac ahau| 708
AJAW_AJTZIK_WINAQ|Ah ꜩíc vínac| 1628
AJAW_AJTZIK_WINAQ|Ahau ah ꜩic vinac| 687
AJAW_AJTZIK_WINAQ|Ahau ah ꜩíc vínac| 1606
AJAW_AJTZIK_WINAQ|ahau ahtzic vinac| 566
AJAW_AJTZIK_WINAQ|ahau ahtzíc vínac| 1477
AJAW_AWILIX|Ahau auilix| 693
AJAW_AWILIX|Ahau auílíx| 1612
AJAW_AWILIX|ahau auílix| 1481
AJAW_JAQAWITZ|Hacauíꜩ| 1631
AJAW_JAQAWITZ|Hacaviꜩ| 711
AJAW_JAQAWITZ|ahau hacauítz| 1489
AJAW_JAQAWITZ|ahau hacavitz| 575
AJAW_KICHE|ahau qui che| 697
AJAW_KICHE|ahau quiche| 489
AJAW_KICHE|ahau quiche| 528
AJAW_KICHE|ahau quiche| 542
AJAW_KICHE|ahau quiche| 552
AJAW_KICHE|ahau quiche| 620
AJAW_KICHE|ahau quiche| 707
AJAW_KICHE|ahau quiche| 712
AJAW_KICHE|ahau quiche| 716
AJAW_KICHE|ahau quiche| 1428
AJAW_KICHE|ahau quiche| 1452
AJAW_KICHE|ahau quiche| 1462
AJAW_KICHE|ahau quiche| 1490
AJAW_KICHE|ahau quiche| 1539
AJAW_KICHE|ahau quiche| 1616
AJAW_KICHE|ahau quiche| 1626
AJAW_KICHE|ahau quiche| 1633
AJAW_KICHE|ahau quíche| 1636
AJAW_KICHE|ahauquíche| 1394
AJAW_KICHE|ahauquíche| 1448
AJAW_KICHE|ahauquíche| 1485
