topic_name|text_seg|count
CHUWA_TZAQ|chuva tzac|1
CHUWILA|chuuila|1
CHUWILA|chuuíla|1
CHUWI_MEQENA|chuvi miquina|1
CHUWI_MEQENA|tutunícapa|1
CORAZÓN_DEL_LAGO|corazon de la laguna|1
CORAZÓN_DEL_LAGO|vguxcho|1
CORAZÓN_DEL_LAGO|vqux cho|1
CORAZÓN_DEL_MAR|corazon de el mar|1
CORAZÓN_DEL_MAR|vguxpalo|1
CORAZÓN_DEL_MAR|vqux palo|1
CUATRO_CASAS_GRANDES|SSes.Señores de las grandes casas, q’que solo son quatro|1
CUATRO_CASAS_GRANDES|quatro casas grandes|1
DAN|Dan|2
DIOS|Dios|1
DIOS|Díos|2
DIOS|el criador|1
DONADIU|Aluarado|1
DONADIU|Donadiu|1
DON_CRISTÓBAL|Don christoual chuchaxic|1
DON_CRISTÓBAL|Don chrístoual|1
DON_JUAN_CORTÉS|D.Juo. cortes|1
DON_JUAN_CORTÉS|Don Juo. cortes|1
DON_JUAN_DE_ROJAS|D.Juo. de Roxas|1
DON_JUAN_DE_ROJAS|Don Juo. de Rojas|1
DON_PEDRO_DE_ROBLES|Don Po.Pedro de Robles.|1
DON_PEDRO_DE_ROBLES|zDDon. Pedro de robles|1
DOS_MUCHACHOS|caib qaholab|1
DOS_MUCHACHOS|deçían|1
DOS_MUCHACHOS|dos muchachos|2
DOS_MUCHACHOS|díxeron|3
DOS_MUCHACHOS|ellos|7
DOS_MUCHACHOS|embíaron|1
DOS_MUCHACHOS|hermanos nuestros|2
DOS_MUCHACHOS|hijos|1
DOS_MUCHACHOS|híjos|1
DOS_MUCHACHOS|los dos|1
DOS_MUCHACHOS|los dos muchachos|3
DOS_MUCHACHOS|los gémelos divinos|10
DOS_MUCHACHOS|los mozos, ó muchachos|1
DOS_MUCHACHOS|los muchachos|2
DOS_MUCHACHOS|muchachos|1
DOS_MUCHACHOS|mís hijos|1
DOS_MUCHACHOS|mís níetos|1
DOS_MUCHACHOS|nosotros|4
DOS_MUCHACHOS|nosotros, tus níetos|1
DOS_MUCHACHOS|níetos míos|1
DOS_MUCHACHOS|sus hermanos|3
DOS_MUCHACHOS|sus hijos|1
DOS_MUCHACHOS|vosotros|1
EL_CRIADOR|ahꜩac|1
EL_CRIADOR|el criador|1
HERMANOS_ARTESANOS|ellos|3
