topic_id|topic_name
0|AGUA_PODRIDA
1|AJAL_PUJ
2|AJAL_QANA
3|AJAW_AJTZIK_WINAQ
4|AJAW_AWILIX
5|AJAW_JAQAWITZ
6|AJAW_KICHE
7|AJAW_KOTUJA_UNDÉCIMO
8|AJAW_LOLMET
9|AJAW_NIM_CHOKOJ
10|AJAW_QALEL
11|AJBATENAJA
12|AJKIBAJA
13|AJPOP
14|AJPOP_KAMJA
15|AJQUKUMATZ
16|AJTOJIL
17|AJTZIKINAJA
18|AJTZIK_WINAQ
19|ALOM
20|AWILIX
21|BALAM_AQAB
22|BALAM_AQAB 
23|BALAM_KITZE
24|BARRANCO_AGITADO
25|BARRANCO_RUIDOSO
26|BATZA
27|BELEJEB_KEJ
28|BELEJEB_KEJ_NOVENO
29|BELEJEB_TZI
30|BITOL
31|CAMINO BLANCO
32|CAMINO_AMARILLO
33|CAMINO_BLANCO
34|CAMINO_NEGRO
35|CAMINO_ROJO
36|CAMINO_VERDE
37|CASA_DE_HIELO
38|CASA_DE_JAGUARES
39|CASA_DE_LOS_CHAYES
40|CASA_DE_MURCIELAGOS
41|CASA_OSCURA
42|CHAMIYABAQ
43|CHAMIYAJOLOM
44|CHIMALMAT
45|CHIPI_KAQULJA
46|CHI_CHAQ
47|CHI_ISMACHI
48|CHI_KIX
49|CHULIMAL
50|CHUWA_TZAQ
51|CHUWILA
52|CHUWI_MEQENA
53|CORAZÓN_DEL_LAGO
54|CORAZÓN_DEL_MAR
55|CUATRO_CASAS_GRANDES
56|DAN
57|DIOS
58|DONADIU
59|DON_CRISTÓBAL
60|DON_JUAN_CORTÉS
61|DON_JUAN_DE_ROJAS
62|DON_PEDRO_DE_ROBLES
63|DOS_MUCHACHOS
64|EL_CRIADOR
65|HERMANOS_ARTESANOS
66|HERO_TWINS
67|HUN_CHOWEN
68|HURAKAN
69|IIXMUKANE
70|IKIBALAM
71|ILOKAB
72|IQUI_BALAM
73|ISTAYUL
74|ISTAYUL_NIJAIB
75|IXKAKAW_E
76|IXKIK
77|IXMUKAME
78|IXMUKANE
79|IXQANIL
80|IXTOJ
81|JAQAWITZ
82|JA_SIMAJ
83|JUMETA_JA
84|JUNAJPU
85|JUNAJPU_UTIW
86|JUNAJPU_WUCH
87|JUNKAME
88|JUN_BATZ
89|JUN_CHOWEN
90|JUN_JUNAJPU
